model,method,failure_penalty,n,failures,loss
gpt54,q10:B4,1.0,640,0,0.0024656258275292447
gpt54,q10:B3_0,0.01,640,0,0.0028838697913199053
gpt54,q10:B3_0,0.1,640,0,0.0028838697913199053
gpt54,q10:B3_0,1.0,640,0,0.0028838697913199053
gpt54,q10:B3_1,0.01,640,0,0.0030093091497611717
gpt54,q10:B3_1,0.1,640,0,0.0030093091497611717
gpt54,q10:B3_1,1.0,640,0,0.0030093091497611717
gpt54,q10:B3_2,0.01,640,0,0.0028476679011923242
gpt54,q10:B3_2,0.1,640,0,0.0028476679011923242
gpt54,q10:B3_2,1.0,640,0,0.0028476679011923242
gpt54,q10:B3_3,0.01,640,0,0.002902852290834662
gpt54,q10:B3_3,0.1,640,0,0.002902852290834662
gpt54,q10:B3_3,1.0,640,0,0.002902852290834662
gpt54,q10:B3_4,0.01,640,0,0.0028486884177820583
gpt54,q10:B3_4,0.1,640,0,0.0028486884177820583
gpt54,q10:B3_4,1.0,640,0,0.0028486884177820583
gpt54,q10:B3_5,0.01,640,0,0.0026623960983071277
gpt54,q10:B3_5,0.1,640,0,0.0026623960983071277
gpt54,q10:B3_5,1.0,640,0,0.0026623960983071277
gpt54,q10:B3_6,0.01,640,0,0.0028043780874227324
gpt54,q10:B3_6,0.1,640,0,0.0028043780874227324
gpt54,q10:B3_6,1.0,640,0,0.0028043780874227324
gpt54,q10:B3_7,0.01,640,0,0.0028636620286643126
gpt54,q10:B3_7,0.1,640,0,0.0028636620286643126
gpt54,q10:B3_7,1.0,640,0,0.0028636620286643126
gpt54,q10:B3_8,0.01,640,0,0.0028849388106351906
gpt54,q10:B3_8,0.1,640,0,0.0028849388106351906
gpt54,q10:B3_8,1.0,640,0,0.0028849388106351906
gpt54,q10:B3_9,0.01,640,0,0.0027743194073461654
gpt54,q10:B3_9,0.1,640,0,0.0027743194073461654
gpt54,q10:B3_9,1.0,640,0,0.0027743194073461654
gpt54,q10:B3_10,0.01,640,0,0.0028553263546132585
gpt54,q10:B3_10,0.1,640,0,0.0028553263546132585
gpt54,q10:B3_10,1.0,640,0,0.0028553263546132585
gpt54,q10:B3_11,0.01,640,0,0.002705384019330663
gpt54,q10:B3_11,0.1,640,0,0.002705384019330663
gpt54,q10:B3_11,1.0,640,0,0.002705384019330663
gpt54,q10:B3_12,0.01,640,0,0.0029449834369137725
gpt54,q10:B3_12,0.1,640,0,0.0029449834369137725
gpt54,q10:B3_12,1.0,640,0,0.0029449834369137725
gpt54,q10:B3_13,0.01,640,0,0.0028566625820376076
gpt54,q10:B3_13,0.1,640,0,0.0028566625820376076
gpt54,q10:B3_13,1.0,640,0,0.0028566625820376076
gpt54,q10:B3_14,0.01,640,0,0.002796990875801492
gpt54,q10:B3_14,0.1,640,0,0.002796990875801492
gpt54,q10:B3_14,1.0,640,0,0.002796990875801492
gpt54,q10:B3_15,0.01,640,0,0.0029434985459825883
gpt54,q10:B3_15,0.1,640,0,0.0029434985459825883
gpt54,q10:B3_15,1.0,640,0,0.0029434985459825883
gpt54,q10:B3_16,0.01,640,0,0.0029445329717471226
gpt54,q10:B3_16,0.1,640,0,0.0029445329717471226
gpt54,q10:B3_16,1.0,640,0,0.0029445329717471226
gpt54,q10:B3_17,0.01,640,0,0.002731585364838787
gpt54,q10:B3_17,0.1,640,0,0.002731585364838787
gpt54,q10:B3_17,1.0,640,0,0.002731585364838787
gpt54,q10:B3_18,0.01,640,0,0.0028680477362811123
gpt54,q10:B3_18,0.1,640,0,0.0028680477362811123
gpt54,q10:B3_18,1.0,640,0,0.0028680477362811123
gpt54,q10:B3_19,0.01,640,0,0.002836609363392336
gpt54,q10:B3_19,0.1,640,0,0.002836609363392336
gpt54,q10:B3_19,1.0,640,0,0.002836609363392336
gpt54,q20:DARC,0.01,640,0,0.0020683077680830387
gpt54,q20:DARC,0.1,640,0,0.0020683077680830387
gpt54,q20:DARC,1.0,640,0,0.0020683077680830387
gpt54,q20:B4,0.01,640,0,0.0021327786830610622
gpt54,q20:B4,0.1,640,0,0.0021327786830610622
gpt54,q20:B4,1.0,640,0,0.0021327786830610622
gpt54,q20:B3_0,0.01,640,0,0.002776749633825748
gpt54,q20:B3_0,0.1,640,0,0.002776749633825748
gpt54,q20:B3_0,1.0,640,0,0.002776749633825748
gpt54,q20:B3_1,0.01,640,0,0.0029391140230893512
gpt54,q20:B3_1,0.1,640,0,0.0029391140230893512
gpt54,q20:B3_1,1.0,640,0,0.0029391140230893512
gpt54,q20:B3_2,0.01,640,0,0.0027064926006100465
gpt54,q20:B3_2,0.1,640,0,0.0027064926006100465
gpt54,q20:B3_2,1.0,640,0,0.0027064926006100465
gpt54,q20:B3_3,0.01,640,0,0.002746544836168009
gpt54,q20:B3_3,0.1,640,0,0.002746544836168009
gpt54,q20:B3_3,1.0,640,0,0.002746544836168009
gpt54,q20:B3_4,0.01,640,0,0.002812959916621272
gpt54,q20:B3_4,0.1,640,0,0.002812959916621272
gpt54,q20:B3_4,1.0,640,0,0.002812959916621272
gpt54,q20:B3_5,0.01,640,0,0.002550346058106217
gpt54,q20:B3_5,0.1,640,0,0.002550346058106217
gpt54,q20:B3_5,1.0,640,0,0.002550346058106217
gpt54,q20:B3_6,0.01,640,0,0.0027239771535153136
gpt54,q20:B3_6,0.1,640,0,0.0027239771535153136
gpt54,q20:B3_6,1.0,640,0,0.0027239771535153136
gpt54,q20:B3_7,0.01,640,0,0.002857217543819536
gpt54,q20:B3_7,0.1,640,0,0.002857217543819536
gpt54,q20:B3_7,1.0,640,0,0.002857217543819536
gpt54,q20:B3_8,0.01,640,0,0.0027375367115065464
gpt54,q20:B3_8,0.1,640,0,0.0027375367115065464
gpt54,q20:B3_8,1.0,640,0,0.0027375367115065464
gpt54,q20:B3_9,0.01,640,0,0.0027676663764946694
gpt54,q20:B3_9,0.1,640,0,0.0027676663764946694
gpt54,q20:B3_9,1.0,640,0,0.0027676663764946694
gpt54,q20:B3_10,0.01,640,0,0.0028070152571851594
gpt54,q20:B3_10,0.1,640,0,0.0028070152571851594
gpt54,q20:B3_10,1.0,640,0,0.0028070152571851594
gpt54,q20:B3_11,0.01,640,0,0.002646363895238882
gpt54,q20:B3_11,0.1,640,0,0.002646363895238882
gpt54,q20:B3_11,1.0,640,0,0.002646363895238882
gpt54,q20:B3_12,0.01,640,0,0.002796781844855658
gpt54,q20:B3_12,0.1,640,0,0.002796781844855658
gpt54,q20:B3_12,1.0,640,0,0.002796781844855658
gpt54,q20:B3_13,0.01,640,0,0.0028836143524528634
gpt54,q20:B3_13,0.1,640,0,0.0028836143524528634
gpt54,q20:B3_13,1.0,640,0,0.0028836143524528634
gpt54,q20:B3_14,0.01,640,0,0.002593238814852654
gpt54,q20:B3_14,0.1,640,0,0.002593238814852654
gpt54,q20:B3_14,1.0,640,0,0.002593238814852654
gpt54,q20:B3_15,0.01,640,0,0.0028971390539281002
gpt54,q20:B3_15,0.1,640,0,0.0028971390539281002
gpt54,q20:B3_15,1.0,640,0,0.0028971390539281002
gpt54,q20:B3_16,0.01,640,0,0.00272121616243778
gpt54,q20:B3_16,0.1,640,0,0.00272121616243778
gpt54,q20:B3_16,1.0,640,0,0.00272121616243778
gpt54,q20:B3_17,0.01,640,0,0.0025043202559587104
gpt54,q20:B3_17,0.1,640,0,0.0025043202559587104
gpt54,q20:B3_17,1.0,640,0,0.0025043202559587104
gpt54,q20:B3_18,0.01,640,0,0.0027848828623491945
gpt54,q20:B3_18,0.1,640,0,0.0027848828623491945
gpt54,q20:B3_18,1.0,640,0,0.0027848828623491945
gpt54,q20:B3_19,0.01,640,0,0.0028632179663484938
gpt54,q20:B3_19,0.1,640,0,0.0028632179663484938
gpt54,q20:B3_19,1.0,640,0,0.0028632179663484938
luna,B0,0.01,160,0,0.001113924127283016
luna,B0,0.1,160,0,0.001113924127283016
luna,B0,1.0,160,0,0.001113924127283016
luna,B6,0.01,160,1,0.0015010708656935218
luna,B6,0.1,160,1,0.002063570865693522
luna,B6,1.0,160,1,0.007688570865693521
luna,DARC_online,0.01,160,1,0.001046714529119876
luna,DARC_online,0.1,160,1,0.0016092145291198763
luna,DARC_online,1.0,160,1,0.007234214529119876
luna,B4_online,0.01,160,1,0.001267911746382425
luna,B4_online,0.1,160,1,0.0018304117463824252
luna,B4_online,1.0,160,1,0.007455411746382425
luna,q5:DARC,0.01,160,1,0.0010053442943017076
luna,q5:DARC,0.1,160,1,0.0015678442943017074
luna,q5:DARC,1.0,160,1,0.0071928442943017075
luna,q5:B4,0.01,160,1,0.001163397471456439
luna,q5:B4,0.1,160,1,0.001725897471456439
luna,q5:B4,1.0,160,1,0.0073508974714564385
luna,q5:B3_0,0.01,160,0,0.001113924127283016
luna,q5:B3_0,0.1,160,0,0.001113924127283016
luna,q5:B3_0,1.0,160,0,0.001113924127283016
luna,q5:B3_1,0.01,160,0,0.001287371512816126
luna,q5:B3_1,0.1,160,0,0.001287371512816126
luna,q5:B3_1,1.0,160,0,0.001287371512816126
luna,q5:B3_2,0.01,160,0,0.001113924127283016
luna,q5:B3_2,0.1,160,0,0.001113924127283016
luna,q5:B3_2,1.0,160,0,0.001113924127283016
luna,q5:B3_3,0.01,160,0,0.001113924127283016
luna,q5:B3_3,0.1,160,0,0.001113924127283016
luna,q5:B3_3,1.0,160,0,0.001113924127283016
luna,q5:B3_4,0.01,160,0,0.001113924127283016
luna,q5:B3_4,0.1,160,0,0.001113924127283016
luna,q5:B3_4,1.0,160,0,0.001113924127283016
luna,q5:B3_5,0.01,160,0,0.0011404495421095005
luna,q5:B3_5,0.1,160,0,0.0011404495421095005
luna,q5:B3_5,1.0,160,0,0.0011404495421095005
luna,q5:B3_6,0.01,160,0,0.001113924127283016
luna,q5:B3_6,0.1,160,0,0.001113924127283016
luna,q5:B3_6,1.0,160,0,0.001113924127283016
luna,q5:B3_7,0.01,160,0,0.0010835730706668053
luna,q5:B3_7,0.1,160,0,0.0010835730706668053
luna,q5:B3_7,1.0,160,0,0.0010835730706668053
luna,q5:B3_8,0.01,160,0,0.001113924127283016
luna,q5:B3_8,0.1,160,0,0.001113924127283016
luna,q5:B3_8,1.0,160,0,0.001113924127283016
luna,q5:B3_9,0.01,160,0,0.001113924127283016
luna,q5:B3_9,0.1,160,0,0.001113924127283016
luna,q5:B3_9,1.0,160,0,0.001113924127283016
luna,q5:B3_10,0.01,160,0,0.001113924127283016
luna,q5:B3_10,0.1,160,0,0.001113924127283016
luna,q5:B3_10,1.0,160,0,0.001113924127283016
luna,q5:B3_11,0.01,160,0,0.001113924127283016
luna,q5:B3_11,0.1,160,0,0.001113924127283016
luna,q5:B3_11,1.0,160,0,0.001113924127283016
luna,q5:B3_12,0.01,160,0,0.001133668622705999
luna,q5:B3_12,0.1,160,0,0.001133668622705999
luna,q5:B3_12,1.0,160,0,0.001133668622705999
luna,q5:B3_13,0.01,160,0,0.001217240979525322
luna,q5:B3_13,0.1,160,0,0.001217240979525322
luna,q5:B3_13,1.0,160,0,0.001217240979525322
luna,q5:B3_14,0.01,160,0,0.0013388527590249481
luna,q5:B3_14,0.1,160,0,0.0013388527590249481
luna,q5:B3_14,1.0,160,0,0.0013388527590249481
luna,q5:B3_15,0.01,160,0,0.0010848380720284297
luna,q5:B3_15,0.1,160,0,0.0010848380720284297
luna,q5:B3_15,1.0,160,0,0.0010848380720284297
luna,q5:B3_16,0.01,160,0,0.0010848380720284297
luna,q5:B3_16,0.1,160,0,0.0010848380720284297
luna,q5:B3_16,1.0,160,0,0.0010848380720284297
luna,q5:B3_17,0.01,160,0,0.001113924127283016
luna,q5:B3_17,0.1,160,0,0.001113924127283016
luna,q5:B3_17,1.0,160,0,0.001113924127283016
luna,q5:B3_18,0.01,160,1,0.001266714323698745
luna,q5:B3_18,0.1,160,1,0.0018292143236987451
luna,q5:B3_18,1.0,160,1,0.007454214323698745
luna,q5:B3_19,0.01,160,0,0.0011077726181702838
luna,q5:B3_19,0.1,160,0,0.0011077726181702838
luna,q5:B3_19,1.0,160,0,0.0011077726181702838
luna,q10:DARC,0.01,160,1,0.001079485680369436
luna,q10:DARC,0.1,160,1,0.001641985680369436
luna,q10:DARC,1.0,160,1,0.007266985680369436
luna,q10:B4,0.01,160,1,0.0013579750465821606
luna,q10:B4,0.1,160,1,0.0019204750465821607
luna,q10:B4,1.0,160,1,0.00754547504658216
luna,q10:B3_0,0.01,160,0,0.001113924127283016
luna,q10:B3_0,0.1,160,0,0.001113924127283016
luna,q10:B3_0,1.0,160,0,0.001113924127283016
luna,q10:B3_1,0.01,160,0,0.001287371512816126
luna,q10:B3_1,0.1,160,0,0.001287371512816126
luna,q10:B3_1,1.0,160,0,0.001287371512816126
luna,q10:B3_2,0.01,160,0,0.001113924127283016
luna,q10:B3_2,0.1,160,0,0.001113924127283016
luna,q10:B3_2,1.0,160,0,0.001113924127283016
luna,q10:B3_3,0.01,160,0,0.001126950783109593
luna,q10:B3_3,0.1,160,0,0.001126950783109593
luna,q10:B3_3,1.0,160,0,0.001126950783109593
luna,q10:B3_4,0.01,160,0,0.001113924127283016
luna,q10:B3_4,0.1,160,0,0.001113924127283016
luna,q10:B3_4,1.0,160,0,0.001113924127283016
luna,q10:B3_5,0.01,160,0,0.000982396364954769
luna,q10:B3_5,0.1,160,0,0.000982396364954769
luna,q10:B3_5,1.0,160,0,0.000982396364954769
luna,q10:B3_6,0.01,160,0,0.001126950783109593
luna,q10:B3_6,0.1,160,0,0.001126950783109593
luna,q10:B3_6,1.0,160,0,0.001126950783109593
luna,q10:B3_7,0.01,160,0,0.0010835730706668053
luna,q10:B3_7,0.1,160,0,0.0010835730706668053
luna,q10:B3_7,1.0,160,0,0.0010835730706668053
luna,q10:B3_8,0.01,160,0,0.001126950783109593
luna,q10:B3_8,0.1,160,0,0.001126950783109593
luna,q10:B3_8,1.0,160,0,0.001126950783109593
luna,q10:B3_9,0.01,160,0,0.001113924127283016
luna,q10:B3_9,0.1,160,0,0.001113924127283016
luna,q10:B3_9,1.0,160,0,0.001113924127283016
luna,q10:B3_10,0.01,160,0,0.001113924127283016
luna,q10:B3_10,0.1,160,0,0.001113924127283016
luna,q10:B3_10,1.0,160,0,0.001113924127283016
luna,q10:B3_11,0.01,160,0,0.0010835730706668053
luna,q10:B3_11,0.1,160,0,0.0010835730706668053
luna,q10:B3_11,1.0,160,0,0.0010835730706668053
luna,q10:B3_12,0.01,160,0,0.0010021408603777518
luna,q10:B3_12,0.1,160,0,0.0010021408603777518
luna,q10:B3_12,1.0,160,0,0.0010021408603777518
luna,q10:B3_13,0.01,160,0,0.001217240979525322
luna,q10:B3_13,0.1,160,0,0.001217240979525322
luna,q10:B3_13,1.0,160,0,0.001217240979525322
luna,q10:B3_14,0.01,160,0,0.0013388527590249481
luna,q10:B3_14,0.1,160,0,0.0013388527590249481
luna,q10:B3_14,1.0,160,0,0.0013388527590249481
luna,q10:B3_15,0.01,160,0,0.0010848380720284297
luna,q10:B3_15,0.1,160,0,0.0010848380720284297
luna,q10:B3_15,1.0,160,0,0.0010848380720284297
luna,q10:B3_16,0.01,160,0,0.0010786865629156975
luna,q10:B3_16,0.1,160,0,0.0010786865629156975
luna,q10:B3_16,1.0,160,0,0.0010786865629156975
luna,q10:B3_17,0.01,160,0,0.001113924127283016
luna,q10:B3_17,0.1,160,0,0.001113924127283016
luna,q10:B3_17,1.0,160,0,0.001113924127283016
luna,q10:B3_18,0.01,160,1,0.0014916429554406774
luna,q10:B3_18,0.1,160,1,0.002054142955440677
luna,q10:B3_18,1.0,160,1,0.007679142955440678
luna,q10:B3_19,0.01,160,0,0.0013327012499122159
luna,q10:B3_19,0.1,160,0,0.0013327012499122159
luna,q10:B3_19,1.0,160,0,0.0013327012499122159
luna,q20:DARC,0.01,160,1,0.001042983114640493
luna,q20:DARC,0.1,160,1,0.0016054831146404933
luna,q20:DARC,1.0,160,1,0.007230483114640493
luna,q20:B4,0.01,160,1,0.0012944729419677712
luna,q20:B4,0.1,160,1,0.0018569729419677713
luna,q20:B4,1.0,160,1,0.007481972941967771
luna,q20:B3_0,0.01,160,0,0.0010306775272456439
luna,q20:B3_0,0.1,160,0,0.0010306775272456439
luna,q20:B3_0,1.0,160,0,0.0010306775272456439
luna,q20:B3_1,0.01,160,0,0.0011293183356613945
luna,q20:B3_1,0.1,160,0,0.0011293183356613945
luna,q20:B3_1,1.0,160,0,0.0011293183356613945
luna,q20:B3_2,0.01,160,0,0.001113924127283016
luna,q20:B3_2,0.1,160,0,0.001113924127283016
luna,q20:B3_2,1.0,160,0,0.001113924127283016
luna,q20:B3_3,0.01,160,0,0.001126950783109593
luna,q20:B3_3,0.1,160,0,0.001126950783109593
luna,q20:B3_3,1.0,160,0,0.001126950783109593
luna,q20:B3_4,0.01,160,0,0.0010848380720284297
luna,q20:B3_4,0.1,160,0,0.0010848380720284297
luna,q20:B3_4,1.0,160,0,0.0010848380720284297
luna,q20:B3_5,0.01,160,0,0.000982396364954769
luna,q20:B3_5,0.1,160,0,0.000982396364954769
luna,q20:B3_5,1.0,160,0,0.000982396364954769
luna,q20:B3_6,0.01,160,1,0.0011764241272830159
luna,q20:B3_6,0.1,160,1,0.0017389241272830161
luna,q20:B3_6,1.0,160,1,0.007363924127283016
luna,q20:B3_7,0.01,160,0,0.0009255198935120739
luna,q20:B3_7,0.1,160,0,0.0009255198935120739
luna,q20:B3_7,1.0,160,0,0.0009255198935120739
luna,q20:B3_8,0.01,160,0,0.0011950300709845803
luna,q20:B3_8,0.1,160,0,0.0011950300709845803
luna,q20:B3_8,1.0,160,0,0.0011950300709845803
luna,q20:B3_9,0.01,160,0,0.0012376148852390743
luna,q20:B3_9,0.1,160,0,0.0012376148852390743
luna,q20:B3_9,1.0,160,0,0.0012376148852390743
luna,q20:B3_10,0.01,160,0,0.0011843292824810095
luna,q20:B3_10,0.1,160,0,0.0011843292824810095
luna,q20:B3_10,1.0,160,0,0.0011843292824810095
luna,q20:B3_11,0.01,160,0,0.0013085017024087376
luna,q20:B3_11,0.1,160,0,0.0013085017024087376
luna,q20:B3_11,1.0,160,0,0.0013085017024087376
luna,q20:B3_12,0.01,160,0,0.0010021408603777518
luna,q20:B3_12,0.1,160,0,0.0010021408603777518
luna,q20:B3_12,1.0,160,0,0.0010021408603777518
luna,q20:B3_13,0.01,160,0,0.0014421696112672544
luna,q20:B3_13,0.1,160,0,0.0014421696112672544
luna,q20:B3_13,1.0,160,0,0.0014421696112672544
luna,q20:B3_14,0.01,160,1,0.00123027292604364
luna,q20:B3_14,0.1,160,1,0.0017927729260436398
luna,q20:B3_14,1.0,160,1,0.007417772926043639
luna,q20:B3_15,0.01,160,0,0.0011791038502677598
luna,q20:B3_15,0.1,160,0,0.0011791038502677598
luna,q20:B3_15,1.0,160,0,0.0011791038502677598
luna,q20:B3_16,0.01,160,0,0.0014069320468999356
luna,q20:B3_16,0.1,160,0,0.0014069320468999356
luna,q20:B3_16,1.0,160,0,0.0014069320468999356
luna,q20:B3_17,0.01,160,0,0.0013653781738514326
luna,q20:B3_17,0.1,160,0,0.0013653781738514326
luna,q20:B3_17,1.0,160,0,0.0013653781738514326
luna,q20:B3_18,0.01,160,1,0.0014916429554406774
luna,q20:B3_18,0.1,160,1,0.002054142955440677
luna,q20:B3_18,1.0,160,1,0.007679142955440678
luna,q20:B3_19,0.01,160,0,0.0012982852005524132
luna,q20:B3_19,0.1,160,0,0.0012982852005524132
luna,q20:B3_19,1.0,160,0,0.0012982852005524132
gemini,B0,0.01,160,0,0.0003192926796176819
gemini,B0,0.1,160,0,0.0003192926796176819
gemini,B0,1.0,160,0,0.0003192926796176819
gemini,B6,0.01,160,0,0.0003146501678116281
gemini,B6,0.1,160,0,0.0003146501678116281
gemini,B6,1.0,160,0,0.0003146501678116281
gemini,DARC_online,0.01,160,0,0.0003146501678116281
gemini,DARC_online,0.1,160,0,0.0003146501678116281
gemini,DARC_online,1.0,160,0,0.0003146501678116281
gemini,B4_online,0.01,160,0,0.0003192926796176819
gemini,B4_online,0.1,160,0,0.0003192926796176819
gemini,B4_online,1.0,160,0,0.0003192926796176819
gemini,q5:DARC,0.01,160,0,0.0003146501678116281
gemini,q5:DARC,0.1,160,0,0.0003146501678116281
gemini,q5:DARC,1.0,160,0,0.0003146501678116281
gemini,q5:B4,0.01,160,0,0.0003146501678116281
gemini,q5:B4,0.1,160,0,0.0003146501678116281
gemini,q5:B4,1.0,160,0,0.0003146501678116281
gemini,q5:B3_0,0.01,160,0,0.0003192926796176819
gemini,q5:B3_0,0.1,160,0,0.0003192926796176819
gemini,q5:B3_0,1.0,160,0,0.0003192926796176819
gemini,q5:B3_1,0.01,160,0,0.00029408660117029615
gemini,q5:B3_1,0.1,160,0,0.00029408660117029615
gemini,q5:B3_1,1.0,160,0,0.00029408660117029615
gemini,q5:B3_2,0.01,160,0,0.0003192926796176819
gemini,q5:B3_2,0.1,160,0,0.0003192926796176819
gemini,q5:B3_2,1.0,160,0,0.0003192926796176819
gemini,q5:B3_3,0.01,160,0,0.0003192926796176819
gemini,q5:B3_3,0.1,160,0,0.0003192926796176819
gemini,q5:B3_3,1.0,160,0,0.0003192926796176819
gemini,q5:B3_4,0.01,160,0,0.0003192926796176819
gemini,q5:B3_4,0.1,160,0,0.0003192926796176819
gemini,q5:B3_4,1.0,160,0,0.0003192926796176819
gemini,q5:B3_5,0.01,160,0,0.0003192926796176819
gemini,q5:B3_5,0.1,160,0,0.0003192926796176819
gemini,q5:B3_5,1.0,160,0,0.0003192926796176819
gemini,q5:B3_6,0.01,160,0,0.0003192926796176819
gemini,q5:B3_6,0.1,160,0,0.0003192926796176819
gemini,q5:B3_6,1.0,160,0,0.0003192926796176819
gemini,q5:B3_7,0.01,160,0,0.0003192926796176819
gemini,q5:B3_7,0.1,160,0,0.0003192926796176819
gemini,q5:B3_7,1.0,160,0,0.0003192926796176819
gemini,q5:B3_8,0.01,160,0,0.0003192926796176819
gemini,q5:B3_8,0.1,160,0,0.0003192926796176819
gemini,q5:B3_8,1.0,160,0,0.0003192926796176819
gemini,q5:B3_9,0.01,160,0,0.0003192926796176819
gemini,q5:B3_9,0.1,160,0,0.0003192926796176819
gemini,q5:B3_9,1.0,160,0,0.0003192926796176819
gemini,q5:B3_10,0.01,160,0,0.0003192926796176819
gemini,q5:B3_10,0.1,160,0,0.0003192926796176819
gemini,q5:B3_10,1.0,160,0,0.0003192926796176819
gemini,q5:B3_11,0.01,160,0,0.0003192926796176819
gemini,q5:B3_11,0.1,160,0,0.0003192926796176819
gemini,q5:B3_11,1.0,160,0,0.0003192926796176819
gemini,q5:B3_12,0.01,160,0,0.0003192926796176819
gemini,q5:B3_12,0.1,160,0,0.0003192926796176819
gemini,q5:B3_12,1.0,160,0,0.0003192926796176819
gemini,q5:B3_13,0.01,160,0,0.0003192926796176819
